config_id,mean_obj,std_obj,min_obj,max_obj,mean_time,mean_vehicles,mean_distance,mean_memory_increase,mean_best_iter_memory,mean_load_balance_cv,mean_load_balance_std,mean_load_balance_range,population_size,generations,mutation_rate,tournament_k
1,2176666.41,168900.83057703057,2079151.4700000002,2371696.29,0.47579320271809894,1.0,105.15296666666666,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.05,3
2,2155522.0500000003,132277.7247635032,2079151.4700000002,2308263.21,0.5674468676249186,1.0,104.1315,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.05,5
3,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,0.777198870976766,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.05,7
4,2165038.5300000003,85738.75181901296,2079151.4700000002,2250628.2,0.4416263898213704,1.0,104.59123333333332,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.1,3
5,2206148.73,111615.21617922999,2079151.4700000002,2288666.5199999996,0.5683483282725016,1.0,106.57723333333333,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.1,5
6,2136310.3800000004,99002.13622525678,2079151.4700000002,2250628.2,0.8054192860921224,1.0,103.20339999999999,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.1,7
7,2079151.47,0.0,2079151.4700000002,2079151.4700000002,0.4555958906809489,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.15,3
8,2193469.2900000005,99002.13622525669,2079151.4700000002,2250628.2,0.5635004838307699,1.0,105.9647,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.15,5
9,2136310.3800000004,99002.13622525678,2079151.4700000002,2250628.2,0.8300974369049072,1.0,103.20339999999999,0.0,0.027057421875,0.0,0.0,0.0,50,100,0.15,7
10,2176666.41,168900.83057703057,2079151.4700000002,2371696.29,0.7809414068857828,1.0,105.15296666666666,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.05,3
11,2155522.0500000003,132277.7247635032,2079151.4700000002,2308263.21,1.331987460454305,1.0,104.1315,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.05,5
12,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,1.5180118083953857,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.05,7
13,2165038.5300000003,85738.75181901296,2079151.4700000002,2250628.2,0.7850479284922282,1.0,104.59123333333332,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.1,3
14,2206148.73,111615.21617922999,2079151.4700000002,2288666.5199999996,1.4059388637542725,1.0,106.57723333333333,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.1,5
15,2136310.3800000004,99002.13622525678,2079151.4700000002,2250628.2,1.600830872853597,1.0,103.20339999999999,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.1,7
16,2079151.47,0.0,2079151.4700000002,2079151.4700000002,0.8787985642751058,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.15,3
17,2193469.2900000005,99002.13622525669,2079151.4700000002,2250628.2,1.1127797762552898,1.0,105.9647,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.15,5
18,2136310.3800000004,99002.13622525678,2079151.4700000002,2250628.2,1.4343181451161702,1.0,103.20339999999999,0.0,0.027057421875,0.0,0.0,0.0,50,200,0.15,7
19,2230195.92,95210.12424536765,2124124.29,2308263.21,0.7613767782847086,1.0,107.73893333333335,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.05,3
20,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,1.084169626235962,1.0,103.9276,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.05,5
21,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,1.7513272762298584,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.05,7
22,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,1.0384475390116374,1.0,103.9276,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.1,3
23,2107879.6200000006,49758.61540745992,2079151.4700000002,2165335.9200000004,1.216557502746582,1.0,101.82993333333333,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.1,5
24,2079151.47,0.0,2079151.4700000002,2079151.4700000002,1.5354827245076497,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.1,7
25,2273990.22,40464.20560744023,2250628.2,2320714.2600000002,0.8232152462005615,1.0,109.8546,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.15,3
26,2136310.3800000004,99002.13622525656,2079151.4700000002,2250628.2,1.1902225017547607,1.0,103.20339999999999,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.15,5
27,2265831.66,20134.7248944599,2250628.2,2288666.5199999996,1.627946376800537,1.0,109.46046666666666,0.0,0.027057421875,0.0,0.0,0.0,100,100,0.15,7
28,2230195.92,95210.12424536765,2124124.29,2308263.21,1.7004135449727376,1.0,107.73893333333335,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.05,3
29,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,2.2399914264678955,1.0,103.9276,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.05,5
30,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,3.5285658836364746,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.05,7
31,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,1.633664608001709,1.0,103.9276,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.1,3
32,2107879.6200000006,49758.61540745992,2079151.4700000002,2165335.9200000004,2.5118793646494546,1.0,101.82993333333333,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.1,5
33,2079151.47,0.0,2079151.4700000002,2079151.4700000002,3.1447717348734536,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.1,7
34,2273990.22,40464.20560744023,2250628.2,2320714.2600000002,1.440531889597575,1.0,109.8546,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.15,3
35,2136310.3800000004,99002.13622525656,2079151.4700000002,2250628.2,2.33298126856486,1.0,103.20339999999999,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.15,5
36,2265831.66,20134.7248944599,2250628.2,2288666.5199999996,3.398599147796631,1.0,109.46046666666666,0.0,0.027057421875,0.0,0.0,0.0,100,200,0.15,7
37,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,1.1922674973805745,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.05,3
38,2079151.47,0.0,2079151.4700000002,2079151.4700000002,1.79837965965271,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.05,5
39,2079151.47,0.0,2079151.4700000002,2079151.4700000002,2.762411912282308,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.05,7
40,2253152.22,4371.73087932003,2250628.2,2258200.2600000002,1.4714616934458415,1.0,108.84793333333334,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.1,3
41,2138834.4000000004,103373.86710457683,2079151.4700000002,2258200.2600000002,1.95205553372701,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.1,5
42,2079151.47,0.0,2079151.4700000002,2079151.4700000002,2.442408641179403,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.1,7
43,2079151.47,0.0,2079151.4700000002,2079151.4700000002,1.2253186702728271,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.15,3
44,2138834.4000000004,103373.86710457683,2079151.4700000002,2258200.2600000002,1.7643216451009114,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.15,5
45,2079151.47,0.0,2079151.4700000002,2079151.4700000002,2.4412285486857095,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,100,0.15,7
46,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,2.286293347676595,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.05,3
47,2079151.47,0.0,2079151.4700000002,2079151.4700000002,3.409430424372355,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.05,5
48,2079151.47,0.0,2079151.4700000002,2079151.4700000002,5.006081899007161,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.05,7
49,2253152.22,4371.73087932003,2250628.2,2258200.2600000002,2.5903453826904297,1.0,108.84793333333334,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.1,3
50,2138834.4000000004,103373.86710457683,2079151.4700000002,2258200.2600000002,3.5630635420481362,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.1,5
51,2079151.47,0.0,2079151.4700000002,2079151.4700000002,4.886378447214763,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.1,7
52,2079151.47,0.0,2079151.4700000002,2079151.4700000002,2.5457069079081216,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.15,3
53,2138834.4000000004,103373.86710457683,2079151.4700000002,2258200.2600000002,3.6362274487813315,1.0,103.32533333333333,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.15,5
54,2079151.47,0.0,2079151.4700000002,2079151.4700000002,4.650753498077393,1.0,100.4421,0.0,0.027057421875,0.0,0.0,0.0,150,200,0.15,7
