config_id,mean_obj,std_obj,min_obj,max_obj,mean_time,mean_vehicles,mean_distance,mean_memory_increase,mean_best_iter_memory,mean_load_balance_cv,mean_load_balance_std,mean_load_balance_range,population_size,generations,mutation_rate,tournament_k
1,25703231.400000002,323603.9158104284,25333361.73,25934175.089999996,4.498015403747559,11.0,1241.702,0.0,0.02776640625,0.2821949698706086,27.270295724768815,92.33333333333333,50,100,0.05,3
2,25047903.900000002,963865.4508340107,24418498.32,26157542.580000002,6.255505323410034,11.0,1210.0436666666667,0.0,0.02776640625,0.2623845622188086,25.355889967144876,83.33333333333333,50,100,0.05,5
3,25651706.340000004,554859.310951845,25249069.26,26284628.160000004,8.624211311340332,11.0,1239.2128666666667,0.0,0.02776640625,0.28451286295575956,27.49428848381567,100.66666666666667,50,100,0.05,7
4,23772501.69,527754.2733685425,23275709.28,24326548.920000006,4.435677846272786,11.0,1148.4300333333333,0.0,0.02776640625,0.31125596620974827,30.078644734632945,113.66666666666667,50,100,0.1,3
5,23787310.47,211318.5391755957,23647849.740000002,24030443.7,6.425226370493571,11.0,1149.1454333333334,0.0,0.02776640625,0.2644238686404807,25.552961124075537,88.0,50,100,0.1,5
6,25088101.919999998,1305831.4944651101,24064164.0,26558642.340000004,8.264922618865967,11.333333333333334,1211.9856,0.0,0.02776640625,0.2851649451451266,26.763188703122335,92.0,50,100,0.1,7
7,24606883.5,1914242.4726759028,22396607.19,25730275.95,4.340288718541463,10.666666666666666,1188.7383333333335,0.0,0.02776640625,0.2338343921083781,23.324436866085563,82.33333333333333,50,100,0.15,3
8,22710315.69,856026.0505844225,21888012.33,23596486.830000006,6.518433252970378,11.0,1097.1167,0.0,0.02776640625,0.31772046306536234,30.703350203498193,113.33333333333333,50,100,0.15,5
9,23526449.070000004,465378.57210234035,23025825.090000004,23945902.830000002,8.613237301508585,11.0,1136.5434333333333,0.0,0.02776640625,0.2433583572171236,23.517266701982038,81.0,50,100,0.15,7
10,24284276.070000004,1089708.2814717197,23034794.4,25037705.7,8.82592781384786,11.0,1173.1534333333332,0.0,0.02776640625,0.29975834092550063,28.967556036709748,104.0,50,200,0.05,3
11,23524613.67,683892.099707908,22937570.64,24275566.889999997,12.389849742253622,11.0,1136.4547666666667,0.0,0.02776640625,0.24133764046787665,23.321991983395716,77.33333333333333,50,200,0.05,5
12,23960033.340000004,762891.1955198137,23273790.39,24781491.450000003,16.636579751968384,11.0,1157.4895333333334,0.0,0.02776640625,0.28858660944876596,27.887960531276203,100.66666666666667,50,200,0.05,7
13,22032491.430000003,370935.8026535927,21728910.060000002,22445953.92,8.338463306427002,11.0,1064.3715666666667,0.0,0.02776640625,0.3050434125176873,29.478286136936507,110.0,50,200,0.1,3
14,22021590.810000002,307056.3541217699,21797255.25,22371537.42,12.768455743789673,11.0,1063.8449666666668,0.0,0.02776640625,0.2699638740656067,26.088327102885444,92.0,50,200,0.1,5
15,23947950.75,1654884.4851873529,22975416.45,25858744.290000003,17.01239315668742,11.333333333333334,1156.9058333333332,0.0,0.02776640625,0.2993536441020866,28.155823497219302,94.66666666666667,50,200,0.1,7
16,22835513.429999996,1682250.635877119,21028624.919999998,24356479.049999993,11.085426886876425,10.666666666666666,1103.1649,-0.0026041666666666665,0.027766145833333335,0.2561045848519335,25.47654731030369,86.66666666666667,50,200,0.15,3
17,21615870.810000002,260864.94582687685,21316207.950000003,21792200.310000002,11.60223642985026,11.0,1044.2449666666669,0.0,0.027765625,0.3279184037669509,31.688842109478987,119.0,50,200,0.15,5
18,22210597.68,659634.227142789,21631593.15,22928682.06,14.554717461268107,11.0,1072.9757333333334,0.0,0.027765625,0.24896990994612878,24.059546752066808,88.0,50,200,0.15,7
19,24177180.48,729529.0471212693,23379637.769999996,24810806.790000003,8.67531418800354,11.0,1167.9797333333333,0.0,0.027765625,0.2960469876182765,28.608904348929816,97.66666666666667,100,100,0.05,3
20,23772283.650000002,467694.03088600707,23460421.59,24310044.810000002,11.929107666015625,11.0,1148.4195,0.0,0.027765625,0.27911193224584263,26.97236217975734,94.0,100,100,0.05,5
21,23033846.34,714607.569044548,22209027.93,23466747.51,14.99306344985962,11.0,1112.7461999999998,0.0,0.027765625,0.2512561163402725,24.280477424519063,82.0,100,100,0.05,7
22,22619666.25,1366718.363218725,21522909.870000005,24150776.939999998,8.300980567932129,10.666666666666666,1092.7375,0.0,0.027765625,0.2969371956130727,29.485259172311043,105.33333333333333,100,100,0.1,3
23,22932836.549999997,681646.9777983511,22241603.52,23604474.959999997,12.205395062764486,11.0,1107.8665,0.0,0.027765625,0.3009425076231025,29.081989600305267,110.0,100,100,0.1,5
24,22560095.099999998,469133.12144023844,22210789.5,23093321.58,15.303439140319824,11.0,1089.8596666666665,0.0,0.027765625,0.30324754120624964,29.30473966384031,110.0,100,100,0.1,7
25,23082614.849999998,1750065.8607518314,21621029.939999998,25021942.65,7.873522679011027,10.333333333333334,1115.1021666666668,0.0,0.027765625,0.28171027041469027,28.705952232604176,106.0,100,100,0.15,3
26,21886811.040000003,727863.3660390608,21331122.3,22710725.55,11.730059464772543,10.333333333333334,1057.3338666666666,0.0,0.027765625,0.24160762559597457,24.85079786038264,82.66666666666667,100,100,0.15,5
27,22317370.35,664312.2902069908,21622785.3,22946575.14,15.072189648946127,11.0,1078.1338333333333,0.0,0.027765625,0.29141774717250246,28.161551385851833,90.66666666666667,100,100,0.15,7
28,22602038.820000004,547427.6507570375,22021461.09,23108832.09,19.815480709075928,11.0,1091.8859333333332,0.0,0.027765625,0.3023606701206653,29.219035667115197,99.33333333333333,100,200,0.05,3
29,22411348.349999998,372264.9453954137,22006697.849999998,22739270.849999998,23.45333131154378,11.0,1082.6738333333333,0.0,0.027765625,0.29916102182660315,28.90983329106174,104.0,100,200,0.05,5
30,22115957.28,924130.0861741406,21050879.49,22705271.100000005,32.29182052612305,11.0,1068.4037333333333,-0.5416666666666666,0.027657291666666667,0.2783129874524101,26.895155060173817,93.66666666666667,100,200,0.05,7
31,20296282.38,879609.8643296811,19311829.020000003,21004962.75,16.743616183598835,10.666666666666666,980.4967333333334,0.0,0.027603124999999996,0.3073486891817365,30.491388050810098,112.0,100,200,0.1,3
32,20811911.790000003,651071.1299819766,20064565.89,21256289.73,22.032957077026367,11.0,1005.4063666666667,0.0,0.027603124999999996,0.30285109072081706,29.26642813056623,110.0,100,200,0.1,5
33,21355230.209999997,571627.883489776,20887674.479999997,21992495.58,27.869081656138103,11.0,1031.6536333333333,0.0,0.027603124999999996,0.30555876605461635,29.52808802873247,113.33333333333333,100,200,0.1,7
34,19945463.61,919005.975670628,18923571.54,20704148.279999997,14.912404298782349,10.0,963.5489666666666,0.0,0.027603124999999996,0.23079144737829915,24.533130856313203,88.0,100,200,0.15,3
35,19727162.099999998,995603.1067293091,19135997.009999998,20876628.96,21.406810522079468,10.333333333333334,953.003,0.0,0.027603124999999996,0.2385533972391062,24.44953934765681,84.0,100,200,0.15,5
36,20321588.13,1296227.570079339,18825995.879999995,21120460.470000003,28.628916025161743,10.666666666666666,981.7192333333332,0.0,0.027603124999999996,0.2666577311361418,26.502273234393698,88.33333333333333,100,200,0.15,7
37,22317647.73,764899.5853280118,21466218.78,22946765.58,10.53879181543986,10.666666666666666,1078.1472333333334,0.01171875,0.027606640625,0.291216893346764,28.754390314103986,108.0,150,100,0.05,3
38,22420147.23,494144.46107517515,21993725.159999996,22961690.279999997,16.468659083048504,11.0,1083.0989,0.0,0.027606640625,0.29272151716438416,28.287542976885486,109.33333333333333,150,100,0.05,5
39,22559233.98,329131.07448013383,22256511.66,22909584.240000002,21.084446986516316,11.0,1089.8180666666667,0.0,0.027606640625,0.2615065584285193,25.271042873592364,82.0,150,100,0.05,7
40,21704478.540000003,516947.55614708795,21113805.42,22074405.48,11.462228298187256,10.0,1048.5255333333334,-1.6302083333333333,0.027280598958333332,0.2378189369961108,25.28015300268658,88.0,150,100,0.1,3
41,20329039.439999998,659345.0087444439,19861935.659999996,21083260.500000004,16.762227535247803,10.0,982.0792,0.0,0.027117578125,0.2317661699352107,24.6367438641129,87.0,150,100,0.1,5
42,21852115.08,1152502.316259286,21161371.95,23182584.119999997,21.311367511749268,10.666666666666666,1055.6577333333332,0.0,0.027117578125,0.27129532703108633,26.853076064665945,88.66666666666667,150,100,0.1,7
43,24507168.150000002,1767351.714210305,22506756.03,25857082.08,11.992175102233887,10.333333333333334,1183.9211666666667,0.0,0.027117578125,0.26124466665200424,26.75196392220329,93.33333333333333,150,100,0.15,3
44,20718192.539999995,1499795.9157676082,19127201.58,22106097.18,16.577126900355022,10.666666666666666,1000.8788666666668,0.0,0.027117578125,0.31941316488910027,31.82375903000686,120.0,150,100,0.15,5
45,21201155.97,499643.6460053967,20685133.259999998,21682626.93,21.09278138478597,10.666666666666666,1024.2104333333334,0.0,0.027117578125,0.28691477864509257,28.370231532148594,109.66666666666667,150,100,0.15,7
46,20619919.29,415583.2998880257,20276492.490000002,21081896.369999997,22.419774134953816,10.333333333333334,996.1313666666666,0.0,0.027117447916666666,0.260032780238932,26.481784758736595,100.0,150,200,0.05,3
47,21260255.159999996,694646.4721467262,20712819.509999998,22041682.919999994,32.42460091908773,11.0,1027.0654666666667,0.0,0.027117578125,0.29994124062645283,28.985230798719943,112.66666666666667,150,200,0.05,5
48,21442411.02,728693.9715378827,20611540.619999997,21972892.68,42.02186401685079,10.666666666666666,1035.8652666666667,0.0,0.027117578125,0.23917012797749213,23.817368478340764,80.66666666666667,150,200,0.05,7
49,19553745.090000004,563918.855670139,18902842.56,19894972.860000003,21.921586831410725,10.0,944.6253666666667,0.0,0.027117578125,0.23480863267288188,24.960157653127343,88.33333333333333,150,200,0.1,3
50,18996698.429999996,906204.7090487741,18237329.279999997,19999861.83,32.25150537490845,10.0,917.7149,0.0,0.027117578125,0.2317661699352107,24.6367438641129,87.0,150,200,0.1,5
51,20053354.080000002,1374790.5133418313,19110637.44,21630837.599999998,41.702566146850586,10.666666666666666,968.7610666666666,0.0,0.027117578125,0.2912554030284027,28.91128303300989,99.33333333333333,150,200,0.1,7
52,20118755.04,1413719.6256127106,18938320.29,21685462.83,22.374428113301594,10.333333333333334,971.9205333333333,0.0,0.027117578125,0.28750281444177356,29.4538832583393,107.0,150,200,0.15,3
53,18998175.72,1548409.1967539121,17428934.25,20524875.93,32.99067656199137,10.666666666666666,917.7862666666666,0.0,0.027117578125,0.321184904520841,32.01209495286089,120.0,150,200,0.15,5
54,19721606.22,770975.7007880314,18963193.41,20504558.88,42.08978525797526,10.666666666666666,952.7346000000001,0.0,0.027117578125,0.2862794770085169,28.3212694207632,109.0,150,200,0.15,7
